type,epa_id,facility_name,street,city,state,zip_code,notes,lon,lat,addresses,geoAddress,site_phone,corporatephone,URL,2URL
HWC,ARD981512270,Ash Grove Cement Company,4343 HIGHWAY 108,FOREMAN,AR,71836,,-94.4224213,33.6963746,"4343 HIGHWAY 108, FOREMAN, AR 71836","4343 ar-108, foreman, ar 71836, usa",(870) 542-6217,(913) 319-6110,https://www.ashgrove.com/,
HWC,IND005081542,Lehigh Cement Company,3084 W CR 225 S ,LOGANSPORT, IN,46947-8476,,-86.432238,40.7339849,"3084 W CR 225 S , LOGANSPORT,  IN 46947-8476","3084 w co rd 225 s, logansport, in 46947, usa",(800) 437-7762,(972) 653-5500,https://www.lehighhanson.com/sites/lehigh-cement-company,
HWC,IND006419212,"Lone Star Industries, Inc.",3301 SO CR 150 ,WEST GREENCASTLE, IN ,46135,,-86.8786665,39.6116363,"3301 SO CR 150 , WEST GREENCASTLE,  IN  46135","3301 s county rd 150 w, greencastle, in 46135, usa",(765) 653-8816,(610) 882-5000,www.buzziunicemusa.com,
HWC,KSD031203318,Ash Grove Cement Company,1801 N SANTA FE AVE ,CHANUTE,KS ,66720,,-95.4592391,37.6992851,"1801 N SANTA FE AVE , CHANUTE, KS  66720","1801 n santa fe ave, chanute, ks 66720, usa",(620) 433-3500,(913) 319-6110,https://www.ashgrove.com/,
HWC,LAD008161234,Eco Services Operations,1301 AIRLINE HIGHWAY,BATON ROUGE,LA,70805,,-91.1874404,30.508404,"1301 AIRLINE HIGHWAY, BATON ROUGE, LA 70805","1301 airline hwy, baton rouge, la 70805, usa",(225) 359-3751,(610) 651-4200,https://www.pqcorp.com/,
HWC,MOD054018288,Green America Recycling,10107 HWY 79 ,HANNIBAL,MO,63401-7859,,-91.3135334,39.6830973,"10107 HWY 79 , HANNIBAL, MO 63401-7859","10107 mo-79, hannibal, mo 63401, usa",(573) 221-1740,(636) 532-7440,https://www.greenamericarecycling.com/,
HWC,MOD981127319,"Lone Star Industries, Inc.",2524 S SPRIGG S,CAPE GIRARDEAU,MO,63703-8024,,-89.536479,37.268159,"2524 S SPRIGG S, CAPE GIRARDEAU, MO 63703-8024","2524 s sprigg st, cape girardeau, mo 63701, usa",(573) 335-8878,(610) 882-5000,www.buzziunicemusa.com,
HWC,NYD080469935,Norlite,628 S SARATOGA ST,COHOES,NY,12047,,-73.7032824,42.7539067,"628 S SARATOGA ST, COHOES, NY 12047","628 saratoga st, cohoes, ny 12047, usa",(518) 235-0030,(800) 388-7242,http://www.norliteagg.com/,
HWC,OHD987048733,Holcim (Us) Inc,11435 CO RD 176,PAULDING,OH,45879,,-84.6121744,41.1794157,"11435 CO RD 176, PAULDING, OH 45879","rd 176, paulding, oh 45879, usa",(419) 399-4861,(888) 646-5246,https://www.lafargeholcim.us/sites/us/files/atoms/files/paulding_plant_fact_sheet_final.pdf,
HWC,OKD064558703,Tulsa Cement,2609 N 145TH EAST AVE,TULSA,OK,74116,,-95.8152187,36.1936214,"2609 N 145TH EAST AVE, TULSA, OK 74116","2609 n 145th e ave, tulsa, ok 74116, usa",(918) 437-3902,(918) 437-3902,http://www.centralplainscement.com/,
HWC,PAD002389559,Keystone Cement Company,ROUTE 329,BATH,PA,18014,,-75.3949534,40.7260959,"ROUTE 329, BATH, PA 18014","pa-329, bath, pa, usa",(610) 837-1881,(610) 837-1882,https://www.keystone-cement.com/,
HWC,SCD003351699,Giant Cement Company,654 JUDGE ST,HARLEYVILLE,SC,29448,,-80.4423874,33.242379,"654 JUDGE ST, HARLEYVILLE, SC 29448","654 judge st, harleyville, sc 29448, usa",(803) 496-5033,(803) 496-5034,https://www.giantcement.com/,
HWC,SCD003368891,Holcim Us Inc Geocycle,2175 GARDNER BLVD,HOLLY HILL,SC,29059,,-80.4321468,33.2737437,"2175 GARDNER BLVD, HOLLY HILL, SC 29059","2175 gardner blvd, holly hill, sc 29059, usa",(803) 496-5027,(888) 646-5246,https://www.lafargeholcim.us/sites/us/files/atoms/files/holly_hill_fact_sheet_final.pdf,
HWC,TND982109142,Diversified Scientific Services Inc.,657 GALLAHER ROAD,KINGSTON,TN,37763,,-84.4370825,35.8764665,"657 GALLAHER ROAD, KINGSTON, TN 37763","657 gallaher rd, kingston, tn 37763, usa",(865) 376-0084,(770) 587-9898,http://www.perma-fix.com/dssi.aspx,
HWC,TXD008099079,Eco Services Operations Houston,8615 MANCHESTER ST,HOUSTON,TX,77012-2142,,-95.2698926,29.7187139,"8615 MANCHESTER ST, HOUSTON, TX 77012-2142","8615 manchester st, houston, tx 77012, usa",(713) 928-3411,(610) 651-4200,https://www.pqcorp.com/,
HWC,OHD083377010,Environmental Enterprises,4650 SPRING GROVE AVE,CINCINNATI,OH,45232,"*This facility offers limited capacity (i.e., energy recovery capacity is not available to all EPA waste codes/types of wastes) and thus, are not included in the available commercial incineration capacity estimate.",-84.5200695,39.1645091,"4650 SPRING GROVE AVE, CINCINNATI, OH 45232","4650 spring grove ave, cincinnati, oh 45232, usa",(513) 541-1823,(800) 722-2818,http://www.eeienv.com/,
HWC,ARD069748192,Clean Harbors El Dorado,309 AMERICAN CIRCLE,EL DORADO,AR,71730,,-92.6315743,33.2054332,"309 AMERICAN CIRCLE, EL DORADO, AR 71730","309 american rd, el dorado, ar 71730, usa",(870) 863-7173,(800) 444-4244,http://www.cleanharbors.com/location/el-dorado-incineration-facility,
HWC,ILD098642424,Veolia Es Technical Solutions,7 MOBILE AVE,SAUGET,IL,62201,,-90.185003,38.59481,"7 MOBILE AVE, SAUGET, IL 62201","7 mobile st, sauget, il 62201, usa",(618) 271-2804,(617) 849-6600,https://www.veolianorthamerica.com/contact-us/find-office/sauget-il,
HWC,NED981723513,Clean Harbors Env Services,2247 S. HWY 71,KIMBALL,NE,69145,,-103.6544634,41.1557365,"2247 S. HWY 71, KIMBALL, NE 69145","2247 ne-71, kimball, ne 69145, usa",(308) 235-4012,(800) 444-4244,http://www.cleanharbors.com/location/kimball-incineration-facility,
HWC,OHD048415665,Ross Incineration Services,36790 GILES RD,GRAFTON,OH,44044,,-82.03469,41.3216888,"36790 GILES RD, GRAFTON, OH 44044","36790 giles rd, grafton, oh 44044, usa",(440) 748-5800,(440) 366-2000,https://rossenvironmental.com/,
HWC,OHD980613541,Heritage Thermal Services,1250 SAINT GEORGE ST,EAST LIVERPOOL,OH,43920,,-80.5465572,40.6314837,"1250 SAINT GEORGE ST, EAST LIVERPOOL, OH 43920","1250 st george st, east liverpool, oh 43920, usa",NA,(877) 436-8778,https://www.heritage-enviro.com/heritage-thermal-services/,
HWC,TXD000838896,Veolia Es Technical Solutions,7665 HWY 73,PORT ARTHUR,TX,77640-2563,,-93.8778321,29.9577721,"7665 HWY 73, PORT ARTHUR, TX 77640-2563","7665 tx-73, port arthur, tx 77642, usa",(409) 736-2821,(617) 849-6600,https://www.veolianorthamerica.com/contact-us/find-office/port-arthur-tx,
HWC,TXD055141378,Clean Harbors Deer Park,2027 INDEPENDENCE PKWY S,DEER PARK,TX,77536,,-95.0928763,29.7274373,"2027 INDEPENDENCE PKWY S, DEER PARK, TX 77536","2027 independence pkwy, la porte, tx 77571, usa",(281) 930-2300,(800) 444-4244,http://www.cleanharbors.com/location/deer-park-incineration-facility,
HWC,UTD981552177,Clean Harbors Aragonite,11600 N APTUS ROAD,ARAGONITE,UT,84029,,-112.9851214,40.73675,"11600 N APTUS ROAD, ARAGONITE, UT 84029","11600 north aptus road, grantsville, ut 84029, usa",(435) 884-8100,(800) 444-4244,https://www.cleanharbors.com/location/aragonite-incineration-facility,
HWC,ARD006354161,Veolia Es Technical Solutions,500 EAST REYNOLDS ROAD,ARKADELPHIA,AR,71923,"*This facility offers limited capacity (i.e., energy recovery capacity is not available to all EPA waste codes/types of wastes) and thus, are not included in the available commercial incineration capacity estimate.",-93.0822659,34.0633968,"500 EAST REYNOLDS ROAD, ARKADELPHIA, AR 71923","500 e reynolds rd, arkadelphia, ar 71923, usa",(870) 245-2700,(617) 849-6600,https://www.veolianorthamerica.com/contact-us/find-office/gum-springs-arkansas,
HWC,LAD981055791,Clean Harbors Of Colfax,3763 HIGHWAY 471,COLFAX,LA,71417,"*This facility offers limited capacity (i.e., energy recovery capacity is not available to all EPA waste codes/types of wastes) and thus, are not included in the available commercial incineration capacity estimate.",-92.7264199,31.5733657,"3763 HIGHWAY 471, COLFAX, LA 71417","3763 la-471, colfax, la 71417, usa",(318) 627-3443,(800) 444-4244,https://www.cleanharbors.com/location/colfax-facility,
HWC,MOD985798164,Ebv Explosives Environmental Co.,4174 CO RD 180,CARTHAGE,MO,64836-4002,"*This facility offers limited capacity (i.e., energy recovery capacity is not available to all EPA waste codes/types of wastes) and thus, are not included in the available commercial incineration capacity estimate.",-94.3846946,37.1142554,"4174 CO RD 180, CARTHAGE, MO 64836-4002","4174 co rd 180, carthage, mo 64836, usa",(417) 624-0212,(800) 361-4827,https://dnr.mo.gov/env/hwp/permits/mod985798164/information.htm,
CISWI,,Production Technology & Services,440 E. 100th Avenue,Anchorage,AK,99515,Indicated intent  to accept federal plan implementation by EPA,-149.8736428,61.1285651,"440 E. 100th Avenue, Anchorage, AK 99515","440 e 100th ave, anchorage, ak 99515, usa",(907) 344-2024,(281) 498-7399,http://www.pts-technology.com/en/,
CISWI,,F&M State Bank,484 E. Main,Bushnell,IL,61422,No draft or final implementation plan or negative declaration submitted,-90.508321,40.5523699,"484 E. Main, Bushnell, IL 61422","484 e main st, bushnell, il 61422, usa",(309) 772-2171,NA,https://www.bushnellbank.com/,
CISWI,,INEOS Enterprises,23425 Amoco Road,Channahon,IL,60410,No draft or final implementation plan or negative declaration submitted,-88.1773853,41.4462349,"23425 Amoco Road, Channahon, IL 60410","23425 amoco rd, channahon, il 60410, usa",(815) 423-5541,NA,https://www.ineos.com/sites/channahon/,
CISWI,,Avient,1546 County Road 1450N,Henry,IL,61537,No draft or final implementation plan or negative declaration submitted,-89.3470501,41.1335031,"1546 County Road 1450N, Henry, IL 61537","1546 county rd 1450 n, henry, il 61537, usa",(309) 364-2154,(866) 737-2066,https://www.polyone.com/,
CISWI,,"Covance, Inc.",671 S. Meridian,Greenfield,IN,46140,No draft or final implementation plan or negative declaration submitted,-85.8010164,39.7764626,"671 S. Meridian, Greenfield, IN 46140","671 s meridian rd, greenfield, in 46140, usa",(317) 467-3700,(888) 268-2623,https://www.covance.com/,
CISWI,,CNH Wichita,3301 S Hoover Rd,Wichita,KS,67215,No draft or final implementation plan or negative declaration submitted,-97.4219122,37.6232082,"3301 S Hoover Rd, Wichita, KS 67215","wichita, ks 67215, usa",(316) 941-2237,(630) 887-2233,https://www.cnhindustrial.com/en-us/Pages/homepage.aspx,
CISWI,,Shell Chemicals,15536 River Road,Norco,LA,70079,No draft or final implementation plan or negative declaration submitted,-90.4123042,29.9990924,"15536 River Road Norco, LA 70079","norco, la, usa",(504) 465-7111,(855) 697-4355,https://www.shell.us/about-us/projects-and-locations/norco-manufacturing-complex.html,
CISWI,,Novartis,59 Route 10,East Hanover,NJ,7981,Indicated intent to Accept Delegation of federal plan,-74.3959048,40.8124153,"59 Route 10, East Hanover, NJ Google Maps link doesnâ€™t seem right","59 nj-10, whippany, nj 07981, usa",(862) 778-8300,(862) 778-2100,https://www.novartis.com/,
CISWI,,Pioneer Telephone,208 E. Harvey Ave.,Kingfisher,OK,73750,No draft or final implementation plan or negative declaration submitted,-97.9311544,35.8686098,"208 E. Harvey Ave., Kingfisher, OK 73750","208 harvey ave, kingfisher, ok 73750, usa",(405) 375-0411,(888) 782-2667,https://gopioneer.com/,
CISWI,,INEOS Composites,2650 Neville Road,Pittsburgh,PA,15225,Indicated intent to Accept Delegation of federal plan,-80.0913426,40.4977808,"2650 Neville Road, Pittsburgh, PA 15225","2650 neville rd, pittsburgh, pa 15225, usa",(412) 778-6200,(614) 790-9299,https://www.ineos.com/businesses/ineos-enterprises/businesses/ineos-composites/,
CISWI,,GlaxoSmithKline,709 Swedeland Road,King of Prussia,PA,19406,Indicated intent to Accept Delegation of federal plan,-75.3286459,40.0815362,"709 Swedeland Road, King of Prussia, PA 19406","709 swedeland rd, king of prussia, pa 19406, usa",(610) 270-4800,(888) 825-5249,https://us.gsk.com/en-us/#,
CISWI,,DAK America,570 K Avenue,Gaston,SC,29053,Final Implementation Plan Submitted,-80.0850129,32.9890273,"Intersection I-26 & Highway 21 South, West Columbia, SC 29160","ladson, sc 29456, usa",(803) 794-9200,NA,http://www.dakamericas.com/us-en/locations/locations_columbia.php,
CISWI,,BASF Freeport,602 Copper Road,Freeport,TX,77541,No draft or final implementation plan or negative declaration submitted,-95.3936768,29.0025496,"602 Copper Road, Freeport, TX 77541","602 copper rd, freeport, tx 77541, usa",(979) 415-6100,(800) 526-1072,https://www.basf.com/us/en.html,
CISWI,,International Paper,9978 FM 3129,Queen City,TX,75572,No draft or final implementation plan or negative declaration submitted,-94.0735369,33.2552801,"9978 FM 3129, Queen City, TX 75572","9978 fm 3129, queen city, tx 75572, usa",(903) 799-3508,NA,http://www.internationalpaper.com/,
CISWI,,Reichhold,1503 Haden Road,Houston,TX,77015,No draft or final implementation plan or negative declaration submitted,-95.1788501,29.7657221,"1503 Haden Road, Houston, TX 77015","1503 haden rd, houston, tx 77015, usa",(713) 453-5431,NA,http://www.reichhold.com/en/Default.aspx,
CISWI,,"Eastern Chemical Texas City, Inc.",201 Baystreet South,Texas City,TX,77590,No draft or final implementation plan or negative declaration submitted,-94.893266,29.3826315,"201 Baystreet South, Texas City, TX 77590","201 bay st s, texas city, tx 77590, usa",(409) 945-4431,(800) 327-8626,https://www.eastman.com/Company/Worldwide/our_sites/Pages/Texas_City_Texas.aspx,
CISWI,,TransInd,1711 Coxendale Road,Chester,VA,23836,Draft Implementation Plan Submitted,-77.4021027,37.3761131,"1711 Coxendale Road, Chester, VA 23836","1711 coxendale rd, chester, va 23836, usa",(804) 748-2665,NA,https://piercemechanical.com/,
CISWI,,Boeing Developmental Center,9725 E Marginal Way S,Tukwila,WA,98108,No draft or final implementation plan or negative declaration submitted,-122.3045438,47.5405059,"9725 E Marginal Way, Tukwila, WA 98108","tukwila, wa 98108, usa",(425) 965-4300,NA,http://www.iam-boeing.com/locations.shtml,https://www.boeing.com/
HMIWI,,Curtis Bay Medical Waste Services,3200 Hawkins Point Road,Baltimore,MD,21226,,-76.556008,39.203059,"3200 Hawkins Point Road, Baltimore, MD 21226","3200 hawkins point rd, baltimore, md 21226, usa",(443) 692-2294,(855) 228-1715,https://curtisbaymws.com/,
HMIWI,,"Stericycle, Inc., Apopka",254 W. Keene Road,Apopka,FL,32703,,-81.515925,28.6390195,"254 W. Keene Road, Apopka, FL 32703","254 w keene rd, apopka, fl 32703, usa",(888) 605-3067,(866) 783-7422,https://www.stericycle.com/service-locations/florida/orlando,
HMIWI,,"Stericycle, Inc., Haw River",1168 Porter Avenue,Haw River,NC,27258,,-79.3490639,36.0658156,"1168 Porter Avenue, Haw River, NC 27258","1168 porter ave, haw river, nc 27258, usa",(844) 539-8641,(866) 783-7422,https://www.stericycle.com/service-locations/north-carolina/raleigh,
HMIWI,,"Stericycle, Inc., Clinton",5815 Weldon Springs Road,Clinton,IL,61727,,-88.9645253,40.1536479,"5815 Weldon Springs Road, Clinton, IL 61727","5815 Weldon Springs Road, Clinton, IL 61727, usa",(844) 627-9552,(866) 783-7422,https://www.stericycle.com/service-locations/illinois/clinton,
HMIWI,,"Stericycle, Inc., Warren",1901 Pine Avenue S.E.,Warren,OH,44481,,-80.804331,41.221696,"1901 Pine Avenue S.E., Warren, OH 44481","1901 pine ave se, warren, oh 44483, usa",(866) 327-1646,(866) 783-7422,https://www.stericycle.com/service-locations/ohio/warren,
HMIWI,,Waste Management Resource Recovery and Recycling Center,7501 State Highway 65,Anahuac,TX,77514,,-94.5640501,29.7898274,"7501 State Highway 65, Anahuac, TX 77514","7501 tx-65, anahuac, tx 77514, usa",(713) 461-9933,(855) 864-1221,https://www.wm.com/,
HMIWI,,University of Texas Medical Branch,301 University Boulevard,Galveston,TX,77555,,-94.7758738,29.3107498,"301 University Boulevard, Galveston, TX 77555","301 university blvd, galveston, tx 77550, usa",(381) 945-2266,(409) 772-4040,https://www.utmb.edu/bof/Utilities/DistrictEnergy/default.asp,
HMIWI,,"Stericycle, Inc., Kansas City",3150 N. 7th Street,Kansas City,KS,66115,,-94.6228824,39.1433137,"3150 N. 7th Street, Kansas City, KS 66115","3150 n 7th st trfy, kansas city, ks 66115, usa",(855) 547-9287,(866) 783-7422,https://www.stericycle.com/service-locations/kansas/kansas-city,
HMIWI,,"Stericycle, Inc., North Salt Lake",90 N. 1100 W.,North Salt Lake,UT,84054,,-111.9216359,40.8209094,"90 N. 1100 W., North Salt Lake, UT 84054","n 1100 w, north salt lake, ut 84054, usa",(844) 277-1219,(866) 783-7422,https://www.stericycle.com/service-locations/utah/salt-lake-city,
MSW Combustors, ,Huntsville Waste to Energy Facility,5251 Triana Blvd ,Huntsville,AL,35805,,-86.6103095,34.672117,"5251 Triana Blvd , Huntsville, AL 35805","5251 triana blvd sw, huntsville, al 35805, usa",(256) 880-6054,NA,http://swdahsv.org/,https://www.covanta.com/Our-Facilities/Covanta-Huntsville
MSW Combustors, ,Southeast Resource Recovery Facility (SERRF) ,118 Pier S. Ave,Long Beach,CA,90802,,-118.2406016,33.7592599,"118 Pier S. Ave, Long Beach, CA 90802","118 pier s ave, long beach, ca 90802, usa",(562) 570-7840,(862) 345-5000,www.lacsd.org/solidwaste,https://www.covanta.com/Our-Facilities/Covanta-Long-Beach
MSW Combustors, ,Stanislaus County Resource Recovery Facility ,4040 Fink Road,Crows Landing,CA,95313,,-121.137565,37.389169,"4040 Fink Road, Crows Landing, CA 95313","4040 fink rd, crows landing, ca 95313, usa",NA,(209) 525-6700,www.stancountywte.com,https://www.covanta.com/Our-Facilities/Covanta-Stanislaus
MSW Combustors, ,Bristol Resource Recovery Facility,170 Enterprise Drive,Bristol,CT,6010,,-72.915359,41.649459,"170 Enterprise Drive, Bristol, CT 6010","170 enterprise dr, bristol, ct 06010, usa",(860) 585-0419,NA,www.brrfoc.org,https://www.covanta.com/Our-Facilities/Covanta-Bristol
MSW Combustors, ,Mid-Connecticut Resource Recovery Facility ,1 Reserve Road,Hartford,CT,6114,,-72.6543525,41.7445209,"1 Reserve Road, Hartford, CT 6114","1 reserve rd, hartford, ct 06114, usa",(860) 240-7102,(860) 757-7700,www.ctmira.org,https://www.naes.com/locations/mid-connecticut/
MSW Combustors, ,Southeastern Connecticut Resource Recovery Center,132 Military Highway,Preston,CT,6365,,-72.0847102,41.3706732,"132 Military Highway, Preston, CT 6365","132 military hwy, groton, ct 06340, usa",(860) 886-4893,(860) 381-5558,http://scrrra.org/,https://www.covanta.com/Our-Facilities/Covanta-SECONN
MSW Combustors, ,Wheelabrator Bridgeport,6 Howard Avenue,"Bridgeport, ",CT,6605,,-73.2085114,41.1628434,"6 Howard Avenue, Bridgeport, , CT 6605","6 howard ave, bridgeport, ct 06605, usa",(203) 579-2607,(603) 929-3000,https://www.wtienergy.com/plant-locations/energy-from-waste/wheelabrator-bridgeport,
MSW Combustors, ,Wheelabrator Lisbon,425 South Burnham Highway,Lisbon,CT,6351,,-72.0419091,41.5843469,"425 South Burnham Highway, Lisbon, CT 6351","425 s burnham hwy, lisbon, ct 06351, usa",(860) 885-3512,(603) 929-3000,https://www.wtienergy.com/plant-locations/energy-from-waste/wheelabrator-lisbon,
MSW Combustors, ,Bay County Waste Facility,6510 Bayline Drive,Panama City,FL,32404,,-85.5198112,30.2660656,"6510 Bayline Drive, Panama City, FL 32404","6510 bay line dr, panama city, fl 32404, usa",(850) 914-6248,(850) 236-2212,https://www.co.bay.fl.us/512/Disposal-Options,https://www.engenllc.com/
MSW Combustors, ,Hillsborough County Resource Recovery Facility ,350 N Falkenburg Rd.,Tampa,FL,33619,,-82.335313,27.9555818,"350 N Falkenburg Rd., Tampa, FL 33619","350 n falkenburg rd, tampa, fl 33619, usa",(813) 684-5688,(813) 272-5680,https://www.hillsboroughcounty.org/en/locations/resource-recovery-facility,https://www.covanta.com/Our-Facilities/Covanta-Hillsborough
MSW Combustors, ,Lake County Resource Recovery Facility,3830 Rogers Industrial Park Rd.,Okahumpka,FL,34762,,-81.8894399,28.740832,"3830 Rogers Industrial Park Rd., Okahumpka, FL 34762","3830 rogers industrial park rd, okahumpka, fl 34762, usa",(352) 365-1611,(352) 343-3776,https://www.covanta.com/Our-Facilities/Covanta-Lake,
